AuthorId,audio_arousal_bin_0,audio_arousal_bin_1,audio_arousal_bin_2,audio_arousal_bin_3,audio_arousal_bin_4,audio_arousal_bin_5,audio_arousal_bin_6,audio_arousal_bin_7,audio_arousal_bin_8,audio_arousal_bin_9,audio_arousal_bin_10,audio_arousal_bin_11,audio_dominance_bin_0,audio_dominance_bin_1,audio_dominance_bin_2,audio_dominance_bin_3,audio_dominance_bin_4,audio_dominance_bin_5,audio_dominance_bin_6,audio_dominance_bin_7,audio_dominance_bin_8,audio_dominance_bin_9,audio_dominance_bin_10,audio_dominance_bin_11,audio_valence_bin_0,audio_valence_bin_1,audio_valence_bin_2,audio_valence_bin_3,audio_valence_bin_4,audio_valence_bin_5,audio_valence_bin_6,audio_valence_bin_7,audio_valence_bin_8,audio_valence_bin_9,audio_valence_bin_10,audio_valence_bin_11,audio_arousal_min,audio_dominance_min,audio_valence_min,audio_arousal_max,audio_dominance_max,audio_valence_max,audio_arousal_mean,audio_dominance_mean,audio_valence_mean,audio_arousal_std,audio_dominance_std,audio_valence_std
2473899,0.0,0.0,0.04,0.0,0.0,0.06,0.12,0.36,0.2,0.16,0.04,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.36,0.32,0.14,0.12,0.02,0.0,0.02,0.0,0.02,0.04,0.08,0.18,0.26,0.26,0.1,0.04,0.0,0.0,0.16,0.17,-0.09,1.0,0.95,0.82,0.6774,0.6466,0.5376,0.1625160588611325,0.1418767789603473,0.1750050728127732
2479784,0.0,0.0,0.0,0.0,0.04,0.02,0.1,0.12,0.2,0.28,0.18,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.16,0.34,0.18,0.12,0.0,0.02,0.0,0.06,0.08,0.18,0.22,0.22,0.1,0.06,0.06,0.0,0.0,0.35,0.42,-0.09,1.02,0.95,0.85,0.7736,0.726,0.4724,0.1568667704565545,0.1336000733227221,0.1912532245959982
2480709,0.0,0.02,0.0,0.02,0.0,0.04,0.16,0.22,0.3,0.18,0.06,0.0,0.0,0.0,0.02,0.02,0.0,0.14,0.16,0.44,0.16,0.06,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.16,0.32,0.18,0.16,0.06,0.02,0.0,0.07,0.14,0.17,0.97,0.88,0.92,0.6872,0.6206,0.5792,0.1613089316453724,0.1367316752636643,0.1604310520098262
2484149,0.0204081632653061,0.0,0.0612244897959183,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.1020408163265306,0.2653061224489796,0.2653061224489796,0.1224489795918367,0.0816326530612244,0.0,0.0,0.0204081632653061,0.0204081632653061,0.0816326530612244,0.0204081632653061,0.0204081632653061,0.1836734693877551,0.2857142857142857,0.2244897959183673,0.1020408163265306,0.0408163265306122,0.0,0.0,0.0204081632653061,0.0204081632653061,0.1020408163265306,0.0816326530612244,0.1224489795918367,0.3673469387755102,0.2040816326530612,0.0408163265306122,0.0408163265306122,0.0,0.0,-0.17,0.03,0.05,0.99,0.9,0.82,0.6426530612244897,0.6222448979591837,0.5126530612244898,0.2334503472386587,0.1930917884725039,0.1685820214589435
2579295,0.0,0.0,0.0294117647058823,0.0294117647058823,0.0,0.0294117647058823,0.1764705882352941,0.2941176470588235,0.1470588235294117,0.1764705882352941,0.1176470588235294,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.3235294117647059,0.2058823529411764,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,0.0,0.088235294117647,0.0,0.1764705882352941,0.1764705882352941,0.2352941176470588,0.1764705882352941,0.0588235294117647,0.0588235294117647,0.0294117647058823,0.0,0.16,0.22,0.13,0.96,0.89,0.98,0.6838235294117647,0.6355882352941177,0.5197058823529412,0.175654873490903,0.1486951564590024,0.1898561703471731
2629191,0.0,0.0,0.0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0816326530612244,0.2040816326530612,0.3265306122448979,0.2040816326530612,0.0816326530612244,0.0204081632653061,0.0,0.0,0.0,0.0204081632653061,0.0204081632653061,0.0612244897959183,0.1632653061224489,0.2448979591836734,0.2653061224489796,0.2040816326530612,0.0204081632653061,0.0,0.0,0.0,0.0204081632653061,0.0816326530612244,0.0612244897959183,0.3061224489795918,0.2040816326530612,0.1632653061224489,0.1020408163265306,0.0408163265306122,0.0204081632653061,0.0,0.25,0.24,0.13,1.01,0.93,0.92,0.7251020408163266,0.6783673469387755,0.5277551020408163,0.1529994886835082,0.1415736989871281,0.1739524037646798
2852659,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.31,0.28,0.49,0.92,0.83,0.56,0.65,0.584,0.52,0.2337733945512192,0.2187007087322764,0.0308220700148449
2879227,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.32,0.27,0.33,0.89,0.87,0.75,0.6744444444444445,0.6355555555555555,0.5311111111111111,0.1633333333333333,0.1632567847832909,0.1663162983928848
2989624,0.0,0.0,0.0,0.02,0.08,0.1,0.38,0.18,0.14,0.08,0.02,0.0,0.0,0.0,0.0,0.04,0.08,0.26,0.3,0.18,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.38,0.22,0.16,0.0,0.0,0.0,0.0,0.29,0.27,0.21,0.93,0.86,0.7,0.5868,0.546,0.4708,0.1453979760126372,0.1365313748796613,0.1186976952478137
3000499,0.0,0.0,0.02,0.06,0.04,0.1,0.14,0.24,0.2,0.16,0.04,0.0,0.0,0.0,0.02,0.04,0.06,0.12,0.2,0.2,0.24,0.12,0.0,0.0,0.0,0.0,0.02,0.06,0.12,0.2,0.3,0.18,0.12,0.0,0.0,0.0,0.13,0.19,0.11,0.91,0.84,0.79,0.6308,0.6064,0.5202,0.1883964556189843,0.1631170857803356,0.1560153053716336
