AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
7819804,0.16,0.7,0.02,0.12
7886109,0.22,0.44,0.32,0.02
7947771,0.3,0.5,0.2,0.0
8234567,0.2,0.62,0.16,0.02
8249482,0.26,0.58,0.16,0.0
8340594,0.14,0.6,0.16,0.1
8382755,0.34,0.52,0.06,0.08
8523366,0.22,0.6,0.1,0.08
8529502,0.19607843137254902,0.5490196078431373,0.23529411764705882,0.0196078431372549
8535075,0.5121951219512195,0.34146341463414637,0.12195121951219512,0.024390243902439025
8662712,0.36,0.52,0.1,0.02
8767096,0.32653061224489793,0.46938775510204084,0.08163265306122448,0.12244897959183673
8838241,0.3,0.56,0.04,0.1
8952944,0.30612244897959184,0.40816326530612246,0.061224489795918366,0.22448979591836735
8971559,0.09615384615384616,0.7307692307692307,0.038461538461538464,0.1346153846153846
9061858,0.32,0.5,0.1,0.08
9155594,0.16,0.56,0.18,0.1
9255036,0.26,0.6,0.08,0.06
9423885,0.32653061224489793,0.42857142857142855,0.08163265306122448,0.16326530612244897
9768775,0.0,0.8823529411764706,0.0,0.11764705882352941
9812678,0.26,0.5,0.16,0.08
9878293,0.34,0.46,0.12,0.08
9926330,0.16216216216216217,0.6486486486486487,0.08108108108108109,0.10810810810810811
10480848,0.08333333333333333,0.6041666666666666,0.14583333333333334,0.16666666666666666
10623808,0.18,0.66,0.02,0.14
10647067,0.14,0.44,0.28,0.14
10726646,0.28,0.54,0.06,0.12
10848070,0.3541666666666667,0.4375,0.14583333333333334,0.0625
10945373,0.1568627450980392,0.6666666666666666,0.0784313725490196,0.09803921568627451
10957811,0.24,0.36,0.28,0.12
11075989,0.05263157894736842,0.631578947368421,0.05263157894736842,0.2631578947368421
11205806,0.22448979591836735,0.5714285714285714,0.16326530612244897,0.04081632653061224
11503092,0.4,0.6,0.0,0.0
11653562,0.24,0.64,0.12,0.0
12051149,0.16,0.7,0.1,0.04
12155116,0.5,0.38,0.02,0.1
12158418,0.32,0.44,0.1,0.14
12207511,0.12,0.64,0.1,0.14
12416665,0.1836734693877551,0.5102040816326531,0.14285714285714285,0.16326530612244897
12497359,0.25,0.75,0.0,0.0
12775416,0.2,0.56,0.06,0.18
