"VideoID","video_hasText"
"-plGXDQ6JEc",TRUE
"-q7fXcw53yo",TRUE
"-q8BilyPJ-Y",TRUE
"-qL3I255j_M",FALSE
"-qOoEfz-KVY",FALSE
"-qnORncjkdw",TRUE
"-qqMGESSe7g",TRUE
"-rOjZvGjoI4",FALSE
"-rYD2NQZQyU",TRUE
"-rh7pIIFBYY",TRUE
"-rmqJCz2tCA",FALSE
"-s-lTfHiVlo",FALSE
"-s15z7PzgJI",TRUE
"-s1Pg-XP3Ps",FALSE
"-s9YwPvD3t4",TRUE
"-sFSHwLIWqc",FALSE
"-sVW1mhsjqg",FALSE
"-s_gMz8IZXs",FALSE
"-sfTujLFW5w",TRUE
"-skpdbudK7I",FALSE
"-sr2pFOtZ5M",TRUE
"-t2PG8kvmU0",TRUE
"-tEvV4fTw_4",TRUE
"-tFpYmSKwYo",FALSE
"-tcfNtPj4PY",TRUE
"-tgPtaGkiC4",FALSE
"-tnfwgYkLJM",TRUE
"-tpLVAsZO9M",TRUE
"-tqGoRb1OP8",FALSE
"-tqIfF2Uwq8",TRUE
"-twOp39rSng",FALSE
"-u1MuFrbQAA",TRUE
"-u1puZ_GpLg",TRUE
"-u4NPg-NEHQ",FALSE
"-uDRo8hL4ng",TRUE
"-uGW80HLgoI",FALSE
"-uLO7AJ3m0w",FALSE
"-uMHbMqYN_o",TRUE
"-uQrN7Xr2q4",TRUE
"-uRsHvZUfug",FALSE
"-uTNq0j-u4o",TRUE
"-uUPPNl59ds",FALSE
"-umWeA3581w",TRUE
"-vOOHGjyYjk",FALSE
"-vUA-3DpSKU",FALSE
"-vXugVlat-o",FALSE
"-v_nOjTeges",TRUE
"-vaKxdSU4nk",TRUE
"-vhdQ3ZlbIM",FALSE
"-vjKPQQO-_M",FALSE
"-vl6NRVb-RA",TRUE
"-vzgw0JLIfs",TRUE
"-w-lkb5SZPg",TRUE
"-w4w471kuhg",TRUE
"-wIAdFPr5VI",TRUE
"-wPfILo8ZEc",TRUE
"-wbCKwd_sbI",FALSE
"-wdPnroom5g",FALSE
"-wryZUYKVfw",TRUE
"-x1wBIr0JWU",FALSE
"-x7pqRYliOA",TRUE
"-xKufbhNSoE",FALSE
"-xPLvGYNj_I",TRUE
"-xVdpNfTshg",TRUE
"-xeEmoxrgK4",TRUE
"-xmwLVZNzzI",TRUE
"-xpUXrpXOZw",FALSE
"-xynI73F_0k",FALSE
"-y31WNhqwic",FALSE
"-yEwenRug1I",TRUE
"-yLv3br1w4c",TRUE
"-yT4Tf1S1_4",FALSE
"-yhSNl2Q40o",TRUE
"-yiRDindTAg",FALSE
"-ylgw6Xv8SU",TRUE
"-ypTUj-5TPw",TRUE
"-z8-BFzBSEI",TRUE
"-zL-V1s-x5s",FALSE
"-zX-bUTYZLA",FALSE
"-zjWabAg5gQ",TRUE
"-zyFZrs9IBg",FALSE
"0-JmQHMB6dE",TRUE
"0-pT6VxB1uU",TRUE
"0-tykTPFSAI",FALSE
"0-yx7XneZ1Y",FALSE
"005AmVDb2sk",TRUE
"008OCjBfgpc",FALSE
"00A7Hxic5dM",FALSE
"00ParCN1iJg",TRUE
"00QhmNE92N4",TRUE
"00TTQUtQHPM",TRUE
"00Vw4ViuY8I",FALSE
"00noFVW68co",TRUE
"012N5rsxSXM",FALSE
"013xIpKzNOg",TRUE
"01CSJE4-pME",TRUE
"01FOOFCxUv0",TRUE
"01Wlnwr7XIg",TRUE
"01YBdZBws_k",FALSE
"01avLr7sh3Q",TRUE
"01jhf0lYYwo",TRUE
"01nw5myzd2k",TRUE
"01t1netmuGM",TRUE
"01v7t7KmCeg",TRUE
"0203QiVeCcU",FALSE
"023p-lZiNrM",TRUE
"0242cnta_Ws",TRUE
"02AnF3DeOgE",TRUE
"02C3VOw7dG4",TRUE
"02EriIb7u28",TRUE
"02RLgQSalUA",FALSE
"02VBO3yX0cU",TRUE
"02emvs-6Hbo",TRUE
"02jAr-MZR8s",TRUE
"02owO7voZrU",TRUE
"02v3YAVElCE",TRUE
"02yj4cdIfmo",TRUE
"0300G1qS1Y8",TRUE
"034SmQpy1cw",FALSE
"03VqDPYghck",TRUE
"03gzpy4-g2E",FALSE
"03jj1bMd5Ys",TRUE
"03m7hMDD_4g",TRUE
"03nXQPooTVE",TRUE
"03tvAJlSMZA",FALSE
"03yUtM6OFSY",TRUE
"041D3Ak5sgk",TRUE
"047I-YMLiuw",TRUE
"04YjS27SzoM",TRUE
"04wxK5KCi0E",FALSE
"04x5RViE3OA",TRUE
"05BhGFOMbJc",FALSE
"05Te9dhUlog",FALSE
"05Tv2ay63wE",TRUE
"05Ua5v5YrpM",TRUE
"062UKWxu0mw",TRUE
"06CjAzqVdxE",TRUE
"06fFgmJjM4s",FALSE
"06kuMNptCYo",FALSE
"06m2qGwWUAA",FALSE
"06xU4Uq2YRk",FALSE
"075TjKtHYH4",FALSE
"076poMTF4No",FALSE
"077l6xhqnuA",TRUE
"078Px7mgEDo",TRUE
"07ALLcg07yk",FALSE
"07NcINPwNrM",FALSE
"07g744Uf42Q",TRUE
"07s_E6rOPTI",TRUE
"07u9ya8cnIs",TRUE
"085QzJUf5Sk",TRUE
"089KYRpi2Zg",TRUE
"08PEzOZLq14",TRUE
"08emWc1MLi0",TRUE
"08mEmhEIOVY",TRUE
"08nX4K-A7Qg",TRUE
"08pXPosufTs",FALSE
"08xiZ1pUHLg",FALSE
"08yJxsLNCtY",FALSE
"0994lMOd0SA",TRUE
"09DjOrrYhq4",FALSE
"09KhFHgy4qQ",TRUE
"09Q4TnTTkOg",TRUE
"09QqRQQihac",TRUE
"09T3xaISRYU",TRUE
"09ZOpUxnCTo",TRUE
"09cMhC1e-MU",TRUE
"09rqB8uVak8",TRUE
"0AC15rUxJOc",TRUE
"0AFrVOLAjzU",TRUE
"0AKZbszFs6k",FALSE
"0ATU8xqKyL0",TRUE
"0AX5F_H0M0M",TRUE
"0A_113MIDrg",TRUE
"0AdVZ-E1Ytk",FALSE
"0AnoIgYpOe0",TRUE
"0BQKsyl5aoo",FALSE
"0Bxs5hqgq8w",TRUE
"0ByXqNeBZKI",TRUE
"0C0Bg9diOEU",TRUE
"0C0hFnYD3vM",TRUE
"0C4LQmZvY0E",TRUE
"0CkVn3-IedU",FALSE
"0CrhNVySIP0",TRUE
"0Cterw-h4P4",FALSE
"0D4Uz_p36Y0",TRUE
"0DOqoqIRNlY",FALSE
"0DUK-CoKElw",TRUE
"0DX7dO15NhE",TRUE
"0Djhe4fiAPk",TRUE
"0DrH4Mmvg6U",FALSE
"0Dyl8xlZs-w",FALSE
"0ECTC7-1An4",FALSE
"0EFyA4ELGzs",TRUE
"0ELeusy1QQc",FALSE
"0EZ-uovXNGI",TRUE
"0EgZ9xFwNrg",FALSE
"0FDiuQCFTzc",FALSE
"0FGWXUFc7is",TRUE
"0FI2FGSJrr8",FALSE
"0FO7xKIGSPk",FALSE
"0FOdHm9kXdU",TRUE
"0FQOxGIZLi4",TRUE
"0FR43Y1mW8Q",FALSE
"0FSBiA-RjSU",TRUE
"0F_D8gTOFRU",TRUE
"0Fg2em4RB9c",FALSE
"0FzdwMw-0kY",TRUE
"0GY8T0X5D7c",FALSE
"0GZCJtUSYXA",TRUE
"0GkG3WMG9mc",FALSE
"0Gv4ZwioFgM",TRUE
"0H4yZDOgejo",FALSE
"0HARwHt-RHE",TRUE
"0HA_7FbbgQI",TRUE
"0HB_Q_kbz_Q",TRUE
"0HVfz_jpkDU",TRUE
"0HYrPYhpcT0",TRUE
"0HcwtXcC4Ss",TRUE
"0Hq2vevDfaI",TRUE
"0Hs_ZZuLZAU",FALSE
"0I1THE7sMKo",TRUE
"0I6HxN2aAaY",FALSE
"0IB32x6ZGeo",TRUE
"0IYuEjSVXoY",TRUE
"0I_2M3jSR2c",TRUE
"0IbwtnepsKE",TRUE
"0IhaFAoe65g",FALSE
"0J2k0KKoMCY",FALSE
"0J58Fa8yFXQ",TRUE
"0JFxqhGKXg8",FALSE
"0JQGEq79p_A",FALSE
"0JVhgWGUJOo",TRUE
"0JdYvZ3V1Is",FALSE
"0JtC9DcP0zI",TRUE
"0JwocgCSbrs",FALSE
"0Jx3WGSYUWM",FALSE
"0K0GF6KLpnA",TRUE
"0Kdgzg6q53c",TRUE
"0Kw4B15bFK0",FALSE
"0Kx35KUpJ_I",TRUE
"0KxxyHXtx6o",FALSE
"0L0d8sbGxHw",TRUE
"0L5UipZkaLw",TRUE
"0LGTtAXkEWA",FALSE
"0LGj9yKBVg0",FALSE
"0LL9TSSIVAw",FALSE
"0LNS-HtGZnc",FALSE
"0LbIcEpbt4U",FALSE
"0LdtXPaZ9hs",TRUE
"0LeteB_86v8",TRUE
"0LkWzAU5raY",FALSE
"0Lm_nd121oI",TRUE
"0LszJNtvaPI",FALSE
"0LuoTwAAH7U",TRUE
"0LwNJs67Ygg",FALSE
"0M7ra-7Er0U",FALSE
"0MgFz87rjfY",FALSE
"0MkSpTMX2wg",TRUE
"0MrciA6nyOo",FALSE
"0MskGUonlu0",TRUE
"0MvQ6_b96zc",TRUE
"0N-vkTucazA",FALSE
"0N0LX_1hrqE",FALSE
"0NAMlYR5O30",TRUE
"0NFK-c5KCdE",TRUE
"0NKucmjvt2s",TRUE
"0NnlbdTNBhc",FALSE
"0Np9r89sFSw",TRUE
"0NqiS5L63KQ",FALSE
"0Nwer60xVyo",FALSE
"0Nxa8Ra5VJA",FALSE
"0Nzlk2xbF-Q",FALSE
"0O-DauaEcF8",TRUE
"0OINiXjekf0",TRUE
"0OKKHFE7Am0",TRUE
"0Ob59lEWjFk",FALSE
"0ObwTLNbxQM",FALSE
"0Oc08J09Jwc",FALSE
"0OpGpKoWYwE",TRUE
"0OqV-kU7rEA",TRUE
"0PLViZS57dk",TRUE
"0PLg7Q3a7mw",TRUE
"0PmcwumVyyY",FALSE
"0Q37V0sGaZI",TRUE
"0Q6i6h5RBGE",TRUE
"0QJ88yE2fMk",TRUE
"0QKNvAYFFUg",TRUE
"0QpmzojFKJw",TRUE
"0R-svSHcxs4",FALSE
"0RDOBcMGjd0",FALSE
"0RkRkp-QPvU",TRUE
"0RqW_u0e8L4",TRUE
"0RvEffhPbng",FALSE
"0Rv_L8HqiBM",TRUE
"0RxEVFXNT8c",TRUE
"0Rxr-le-LOc",TRUE
"0SNHZR2Ffpc",TRUE
"0Sb8UKi6R3U",TRUE
"0ScAROC6-js",TRUE
"0Sq4XXE9d90",FALSE
"0TE12C3-VNE",FALSE
"0TQgGBciKac",TRUE
"0TTHQMbvJPI",FALSE
"0To5ND-F9kY",FALSE
"0Trm6zmxzcM",TRUE
"0TymIYY2Rvo",FALSE
"0U-H0Uxbd1s",TRUE
"0U5eZFfgTMo",FALSE
"0U8Wo82hdEI",FALSE
"0UKoG_Lwd9Q",TRUE
"0UWK2utjyeU",FALSE
"0UeBs21KXQ8",TRUE
"0UoXlkwkWXs",FALSE
"0UroWtpIzwI",TRUE
"0V6z8Dl-V1I",FALSE
"0V7bpfMmzQU",FALSE
"0VGfdP45JKY",TRUE
"0VR3yhv1fBk",FALSE
"0VSlcz8CKTU",TRUE
"0Vhb08ElzHw",TRUE
