AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
@CVLTCORP,0.0,1.0,0.0,0.0
@CacauSchwarzaoVivo,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285
@Caftanmarocain1122,0.5,0.5,0.0,0.0
@CaitoPotatoe,0.25,0.4166666666666667,0.08333333333333333,0.25
@CalebColesMusic,1.0,0.0,0.0,0.0
@CamilaNavarrocamilando,0.1,0.55,0.0,0.35
@CaminoEspiritual,0.2,0.65,0.05,0.1
@Canal1Col,0.4,0.4,0.1,0.1
@CarTipsTv,0.5,0.3,0.15,0.05
@CarlitosJunior24k,0.0,0.0,0.0,1.0
@Caroysupapa,1.0,0.0,0.0,0.0
@Cartomantique,0.0,1.0,0.0,0.0
@CartoonClubb,0.2,0.8,0.0,0.0
@CartuneNZ,1.0,0.0,0.0,0.0
@CatWithLeaf,0.25,0.5625,0.1875,0.0
@CelebPinas,0.0,1.0,0.0,0.0
@CelebrationTVNETWORK,0.5,0.5,0.0,0.0
@Cesith,0.0,0.7142857142857143,0.0,0.2857142857142857
@ChaosCauses,0.75,0.25,0.0,0.0
@CharisMissionaryChurch,0.0,0.6666666666666666,0.0,0.3333333333333333
@CharlieHopkinson,0.05,0.95,0.0,0.0
@ChefArtCookingChannel,0.5,0.0,0.0,0.5
@ChefChokrallah,0.0,0.5,0.5,0.0
@ChefGulzarRecipes,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
@ChefJavadJavadi,0.15,0.45,0.25,0.15
@ChefVegan,0.5,0.5,0.0,0.0
@Chilenaporelmundo,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0
@ChinkoEkun,0.0,0.0,0.0,1.0
@ChinmayaMissionSouthAfrica,0.2,0.6,0.0,0.2
@Chiskey,1.0,0.0,0.0,0.0
@ChispaMotivation,0.55,0.0,0.2,0.25
@ChloeRedondo,0.3333333333333333,0.6666666666666666,0.0,0.0
@Choechu1,0.2,0.8,0.0,0.0
@ChompooSangchan,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
@ChristMercyland,0.2,0.2,0.2,0.4
@ChristinaJuly,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
@ChuChuTVTamil,0.0,0.75,0.25,0.0
@CiastiTech,0.0,0.0,0.0,1.0
@CiganaDeOriente,0.0,0.7,0.0,0.3
@CityImpactChurchNZ,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8421052631578947
@CityPressOnline,1.0,0.0,0.0,0.0
@ClawBoyz46ValentinoSuhail,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.0
@ClioMakeUp-official,0.2,0.7,0.05,0.05
@ClubAnimacion3D,0.375,0.5,0.125,0.0
@ClubAtleticoRiverPlateUruguay,0.0,1.0,0.0,0.0
@ColpoGobbo,0.1,0.9,0.0,0.0
@CombateCanal9,0.25,0.25,0.25,0.25
@ComedyCentralAF,0.2,0.45,0.0,0.35
@ConcienciaDivinaW27,0.25,0.6,0.0,0.15
@ConsejeroEspiritual,0.05,0.65,0.3,0.0
@CooLifeGame,0.0,0.6,0.0,0.4
@CookingWithAyeh,0.6,0.3,0.05,0.05
@Copa90,0.3333333333333333,0.6666666666666666,0.0,0.0
@CoroUrbano,0.75,0.25,0.0,0.0
@CorradoGiuffredi,0.05,0.95,0.0,0.0
@CosaDeNinos,0.3,0.45,0.1,0.15
@CosmoMillonario,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.0
@CostaRicanVacations,0.6,0.25,0.0,0.15
@CovertMF,0.6,0.15,0.0,0.25
